"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "PostCSS", "SCSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\.prettierrc.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 38, 0, 27, 65
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\angular.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\docs\errors.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 30, 0, 11, 41
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\docs\update.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 54, 0, 28, 82
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\eslint.config.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\package-lock.json", "JSON", 16781, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16782
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\proxy.conf.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\announcements\announcements.component.html", "HTML", 0, 0, 202, 0, 0, 0, 0, 0, 0, 17, 219
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\announcements\announcements.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\announcements\announcements.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\announcements\announcements.component.ts", "TypeScript", 0, 0, 0, 143, 0, 0, 0, 0, 0, 19, 162
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\messages\messages.component.html", "HTML", 0, 0, 150, 0, 0, 0, 0, 0, 0, 29, 179
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\messages\messages.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\messages\messages.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\admin-tools\messages\messages.component.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 13, 106
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.component.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 2, 8, 95
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 157, 0, 0, 0, 0, 0, 6, 163
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\access\access.component.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\access\access.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\access\access.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\access\access.component.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\auth.routes.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\login\login.component.html", "HTML", 0, 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\login\login.component.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 1, 4, 55
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\auth\register\register.component.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
