Date : 2026-06-11 13:40:04
Directory : c:\Programowanie\inzFrontend\english-teaching-app-frontend
Total : 417 files,  56291 codes, 119 comments, 3926 blanks, all 60336 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        236 |     28,860 |         26 |      2,449 |     31,335 |
| JSON               |          7 |     17,001 |          4 |          5 |     17,010 |
| HTML               |         75 |      8,857 |         84 |      1,082 |     10,023 |
| SCSS               |         92 |      1,319 |          2 |        321 |      1,642 |
| Markdown           |          3 |        122 |          0 |         66 |        188 |
| JavaScript         |          2 |        104 |          1 |          2 |        107 |
| JSON with Comments |          1 |         25 |          2 |          1 |         28 |
| PostCSS            |          1 |          3 |          0 |          0 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        417 |     56,291 |        119 |      3,926 |     60,336 |
| . (Files)                                                                                                                                         |         11 |     17,168 |          7 |         35 |     17,210 |
| docs                                                                                                                                              |          2 |         84 |          0 |         39 |        123 |
| src                                                                                                                                               |        404 |     39,039 |        112 |      3,852 |     43,003 |
| src (Files)                                                                                                                                       |          4 |         32 |          1 |          8 |         41 |
| src\app                                                                                                                                           |        381 |     38,397 |        110 |      3,738 |     42,245 |
| src\app (Files)                                                                                                                                   |          6 |        279 |          2 |         22 |        303 |
| src\app\admin-tools                                                                                                                               |          8 |        624 |          0 |         92 |        716 |
| src\app\admin-tools\announcements                                                                                                                 |          4 |        363 |          0 |         43 |        406 |
| src\app\admin-tools\messages                                                                                                                      |          4 |        261 |          0 |         49 |        310 |
| src\app\auth                                                                                                                                      |         21 |        420 |          1 |         64 |        485 |
| src\app\auth (Files)                                                                                                                              |          1 |         16 |          0 |          2 |         18 |
| src\app\auth\access                                                                                                                               |          4 |         51 |          0 |         11 |         62 |
| src\app\auth\login                                                                                                                                |          4 |        113 |          1 |         15 |        129 |
| src\app\auth\register                                                                                                                             |          4 |         97 |          0 |         12 |        109 |
| src\app\auth\reset-password                                                                                                                       |          4 |         82 |          0 |         13 |         95 |
| src\app\auth\verify-email                                                                                                                         |          4 |         61 |          0 |         11 |         72 |
| src\app\content                                                                                                                                   |         12 |        835 |         14 |        114 |        963 |
| src\app\content\active-students-reports                                                                                                           |          4 |        171 |          0 |         29 |        200 |
| src\app\content\catalogues                                                                                                                        |          4 |        392 |          2 |         46 |        440 |
| src\app\content\check-essays                                                                                                                      |          4 |        272 |         12 |         39 |        323 |
| src\app\curriculum                                                                                                                                |         52 |      3,248 |         25 |        428 |      3,701 |
| src\app\curriculum\course-files                                                                                                                   |         12 |        528 |          2 |         67 |        597 |
| src\app\curriculum\course-files\course                                                                                                            |          4 |        271 |          2 |         21 |        294 |
| src\app\curriculum\course-files\course-adding                                                                                                     |          4 |         92 |          0 |         18 |        110 |
| src\app\curriculum\course-files\course-edit                                                                                                       |          4 |        165 |          0 |         28 |        193 |
| src\app\curriculum\matrix-files                                                                                                                   |         16 |        994 |         11 |        138 |      1,143 |
| src\app\curriculum\matrix-files\matrix                                                                                                            |          4 |        281 |          5 |         33 |        319 |
| src\app\curriculum\matrix-files\matrix-adding                                                                                                     |          4 |        142 |          0 |         23 |        165 |
| src\app\curriculum\matrix-files\matrix-edit                                                                                                       |          4 |        214 |          2 |         36 |        252 |
| src\app\curriculum\matrix-files\plan-matrix                                                                                                       |          4 |        357 |          4 |         46 |        407 |
| src\app\curriculum\module-files                                                                                                                   |         16 |      1,156 |         12 |        164 |      1,332 |
| src\app\curriculum\module-files\module                                                                                                            |          4 |        235 |          0 |         26 |        261 |
| src\app\curriculum\module-files\module-adding                                                                                                     |          4 |        226 |          9 |         35 |        270 |
| src\app\curriculum\module-files\module-edit                                                                                                       |          4 |        344 |          3 |         50 |        397 |
| src\app\curriculum\module-files\plan-module                                                                                                       |          4 |        351 |          0 |         53 |        404 |
| src\app\curriculum\program-files                                                                                                                  |          8 |        570 |          0 |         59 |        629 |
| src\app\curriculum\program-files\program                                                                                                          |          4 |        407 |          0 |         38 |        445 |
| src\app\curriculum\program-files\program-adding                                                                                                   |          4 |        163 |          0 |         21 |        184 |
| src\app\layout                                                                                                                                    |          9 |      1,234 |         19 |        141 |      1,394 |
| src\app\layout\component                                                                                                                          |          8 |      1,097 |         19 |         99 |      1,215 |
| src\app\layout\service                                                                                                                            |          1 |        137 |          0 |         42 |        179 |
| src\app\lesson                                                                                                                                    |         72 |      4,779 |         11 |        723 |      5,513 |
| src\app\lesson\attendance                                                                                                                         |          4 |        243 |          0 |         34 |        277 |
| src\app\lesson\examination-mode                                                                                                                   |          4 |        280 |          0 |         56 |        336 |
| src\app\lesson\grade-student                                                                                                                      |          4 |        205 |          0 |         34 |        239 |
| src\app\lesson\homework-check                                                                                                                     |          4 |        180 |          0 |         28 |        208 |
| src\app\lesson\lesson-activity-points                                                                                                             |          4 |        206 |          0 |         42 |        248 |
| src\app\lesson\lesson-agenda                                                                                                                      |          4 |        124 |          0 |         20 |        144 |
| src\app\lesson\lesson-flashcards                                                                                                                  |          4 |        268 |          0 |         37 |        305 |
| src\app\lesson\lesson-grades                                                                                                                      |          4 |        108 |          0 |         17 |        125 |
| src\app\lesson\lesson-last-week                                                                                                                   |          4 |        168 |          0 |         26 |        194 |
| src\app\lesson\lesson-mode                                                                                                                        |          4 |        980 |          3 |        111 |      1,094 |
| src\app\lesson\lesson-notes                                                                                                                       |          4 |        154 |          0 |         23 |        177 |
| src\app\lesson\lesson-sentence-answers                                                                                                            |          4 |        415 |          8 |         63 |        486 |
| src\app\lesson\lesson-stats                                                                                                                       |          4 |        213 |          0 |         30 |        243 |
| src\app\lesson\lesson-study-time                                                                                                                  |          4 |        162 |          0 |         22 |        184 |
| src\app\lesson\onboard-client                                                                                                                     |          4 |        578 |          0 |         96 |        674 |
| src\app\lesson\pronunciation-test                                                                                                                 |          4 |        155 |          0 |         30 |        185 |
| src\app\lesson\report-listening                                                                                                                   |          4 |        206 |          0 |         37 |        243 |
| src\app\lesson\switch-client                                                                                                                      |          4 |        134 |          0 |         17 |        151 |
| src\app\other                                                                                                                                     |         28 |      2,559 |         13 |        396 |      2,968 |
| src\app\other\admin-credits                                                                                                                       |          4 |        242 |          4 |         29 |        275 |
| src\app\other\avatar                                                                                                                              |          4 |         59 |          0 |         13 |         72 |
| src\app\other\credits                                                                                                                             |          4 |        276 |          0 |         42 |        318 |
| src\app\other\dashboard                                                                                                                           |          4 |        475 |          1 |         47 |        523 |
| src\app\other\ranking                                                                                                                             |          4 |      1,016 |          0 |        193 |      1,209 |
| src\app\other\repertoire                                                                                                                          |          4 |        188 |          7 |         34 |        229 |
| src\app\other\theater                                                                                                                             |          4 |        303 |          1 |         38 |        342 |
| src\app\pages                                                                                                                                     |         38 |     15,942 |          1 |        315 |     16,258 |
| src\app\pages (Files)                                                                                                                             |          1 |         10 |          0 |          2 |         12 |
| src\app\pages\auth                                                                                                                                |          4 |        138 |          0 |         10 |        148 |
| src\app\pages\crud                                                                                                                                |          1 |        356 |          0 |         31 |        387 |
| src\app\pages\documentation                                                                                                                       |          1 |         72 |          0 |          2 |         74 |
| src\app\pages\empty                                                                                                                               |          1 |         10 |          0 |          2 |         12 |
| src\app\pages\landing                                                                                                                             |          7 |        492 |          0 |         14 |        506 |
| src\app\pages\landing (Files)                                                                                                                     |          1 |         30 |          0 |          2 |         32 |
| src\app\pages\landing\components                                                                                                                  |          6 |        462 |          0 |         12 |        474 |
| src\app\pages\notfound                                                                                                                            |          1 |         67 |          0 |          2 |         69 |
| src\app\pages\service                                                                                                                             |          6 |     11,520 |          0 |         62 |     11,582 |
| src\app\pages\uikit                                                                                                                               |         16 |      3,277 |          1 |        190 |      3,468 |
| src\app\services                                                                                                                                  |         29 |      1,917 |          2 |        373 |      2,292 |
| src\app\services (Files)                                                                                                                          |         26 |      1,613 |          2 |        317 |      1,932 |
| src\app\services\student-services                                                                                                                 |          3 |        304 |          0 |         56 |        360 |
| src\app\shared                                                                                                                                    |          6 |        115 |          0 |         23 |        138 |
| src\app\shared (Files)                                                                                                                            |          1 |         18 |          0 |          1 |         19 |
| src\app\shared\guards                                                                                                                             |          2 |         30 |          0 |          8 |         38 |
| src\app\shared\interceptors                                                                                                                       |          3 |         67 |          0 |         14 |         81 |
| src\app\stocksAndSets                                                                                                                             |         12 |      1,276 |          4 |        234 |      1,514 |
| src\app\stocksAndSets\sentence-stock                                                                                                              |          4 |        608 |          0 |        138 |        746 |
| src\app\stocksAndSets\sentence-task                                                                                                               |          4 |        378 |          0 |         53 |        431 |
| src\app\stocksAndSets\sets-composer                                                                                                               |          4 |        290 |          4 |         43 |        337 |
| src\app\student-view                                                                                                                              |         64 |      3,725 |         18 |        607 |      4,350 |
| src\app\student-view\activity-points                                                                                                              |          4 |        149 |          0 |         23 |        172 |
| src\app\student-view\assignments                                                                                                                  |          4 |        250 |          0 |         48 |        298 |
| src\app\student-view\essay-module                                                                                                                 |          4 |        167 |          5 |         25 |        197 |
| src\app\student-view\flashcard-panel                                                                                                              |          4 |        291 |          5 |         27 |        323 |
| src\app\student-view\flashcard-study-mode                                                                                                         |          4 |        309 |          0 |         64 |        373 |
| src\app\student-view\grades                                                                                                                       |          4 |         95 |          0 |         14 |        109 |
| src\app\student-view\last-week                                                                                                                    |          4 |        127 |          2 |         16 |        145 |
| src\app\student-view\memories                                                                                                                     |          4 |         95 |          0 |         15 |        110 |
| src\app\student-view\module-player                                                                                                                |          4 |        259 |          0 |         53 |        312 |
| src\app\student-view\presentation                                                                                                                 |          4 |        217 |          0 |         57 |        274 |
| src\app\student-view\pronunciation                                                                                                                |          4 |        220 |          6 |         35 |        261 |
| src\app\student-view\sentences                                                                                                                    |          4 |        108 |          0 |         18 |        126 |
| src\app\student-view\sentences-cards                                                                                                              |          4 |        318 |          0 |         71 |        389 |
| src\app\student-view\stats                                                                                                                        |          4 |        275 |          0 |         32 |        307 |
| src\app\student-view\user-course                                                                                                                  |          4 |        753 |          0 |         94 |        847 |
| src\app\student-view\vocabulary                                                                                                                   |          4 |         92 |          0 |         15 |        107 |
| src\app\user                                                                                                                                      |         16 |        831 |          0 |        127 |        958 |
| src\app\user\profile                                                                                                                              |          4 |        112 |          0 |         16 |        128 |
| src\app\user\profile-detail                                                                                                                       |          4 |        283 |          0 |         44 |        327 |
| src\app\user\register-user                                                                                                                        |          4 |        150 |          0 |         26 |        176 |
| src\app\user\user-crud                                                                                                                            |          4 |        286 |          0 |         41 |        327 |
| src\app\vocabulary                                                                                                                                |          8 |        613 |          0 |         79 |        692 |
| src\app\vocabulary\assign-global-vocabulary                                                                                                       |          4 |        293 |          0 |         39 |        332 |
| src\app\vocabulary\global-vocabulary                                                                                                              |          4 |        320 |          0 |         40 |        360 |
| src\assets                                                                                                                                        |         17 |        604 |          1 |        105 |        710 |
| src\assets\demo                                                                                                                                   |          3 |         19 |          0 |          4 |         23 |
| src\assets\demo (Files)                                                                                                                           |          2 |         18 |          0 |          3 |         21 |
| src\assets\demo\flags                                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| src\assets\layout                                                                                                                                 |         14 |        585 |          1 |        101 |        687 |
| src\assets\layout (Files)                                                                                                                         |         11 |        555 |          1 |         98 |        654 |
| src\assets\layout\variables                                                                                                                       |          3 |         30 |          0 |          3 |         33 |
| src\environments                                                                                                                                  |          2 |          6 |          0 |          1 |          7 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Programowanie\inzFrontend\english-teaching-app-frontend\.prettierrc.json                                                                       | JSON               |         29 |          0 |          1 |         30 |
